order_id,customer_id,order_date,status,shipping_address_id,coupon_id,subtotal,discount_amt,shipping_charges,tax_amt,total_amount,payment_status,delivery_date,warehouse_id,channel
1,235,"2020-01-14 08:55:00",Delivered,2390,103,63504.45,18356.15,0.0,8126.69,53274.99,Paid,"2020-01-17 08:55:00",2,App
2,3874,"2020-01-30 06:34:00",Delivered,9375,116,19661.81,3258.38,0.0,2952.62,19356.05,Paid,"2020-02-03 06:34:00",5,"Mobile Web"
3,4362,"2020-01-22 23:55:00",Delivered,8605,,13098.67,3537.06,0.0,1721.09,11282.7,Paid,"2020-01-24 23:55:00",5,App
4,117,"2020-01-26 02:22:00",Delivered,9548,,3324.19,221.49,0.0,558.49,3661.19,Paid,"2020-01-30 02:22:00",4,Website
5,769,"2020-01-16 00:41:00",Cancelled,4880,,22973.04,1921.94,0.0,3789.2,24840.3,Pending,,9,App
6,956,"2020-01-07 14:09:00",Delivered,2606,,47667.48,4811.88,0.0,7714.01,50569.61,Paid,"2020-01-11 14:09:00",4,App
7,2296,"2020-01-10 04:35:00",Delivered,6635,13,29084.04,4128.08,0.0,4492.07,29448.03,Paid,"2020-01-18 04:35:00",7,App
8,3766,"2020-01-15 14:15:00",Delivered,8601,,60336.98,13446.46,0.0,8440.29,55330.81,Paid,"2020-01-21 14:15:00",7,Website
9,3992,"2020-01-25 21:01:00",Delivered,468,180,3964.08,947.43,0.0,543.0,3559.65,Paid,"2020-01-29 21:01:00",3,App
10,4176,"2020-01-31 00:10:00",Delivered,8072,121,12520.34,750.1,0.0,2118.64,13888.88,Paid,"2020-02-07 00:10:00",10,"Mobile Web"
11,1885,"2020-01-17 01:08:00",Delivered,4397,,29752.73,662.29,0.0,5236.28,34326.72,Paid,"2020-01-20 01:08:00",5,App
12,4472,"2020-01-30 16:55:00",Shipped,3015,35,22810.16,5999.75,0.0,3025.87,19836.28,Paid,,9,Website
13,1885,"2020-01-16 08:16:00",Returned,4385,,17022.48,3338.12,0.0,2463.18,16147.54,Paid,,3,App
14,4157,"2020-01-11 01:00:00",Delivered,1694,,16319.22,751.76,0.0,2802.14,18369.6,Paid,"2020-01-17 01:00:00",2,App
15,2928,"2020-01-19 17:19:00",Delivered,1987,171,66885.92,16129.68,0.0,9136.12,59892.36,Paid,"2020-01-27 17:19:00",6,"Mobile Web"
